epoch,train_loss,val_loss,lr,elapsed_s
1,0.02711588,0.00422309,0.0009990232,279.71
2,0.00491297,0.003031,0.0009960968,280.64
3,0.00424987,0.0032261,0.0009912322,279.39
4,0.00384957,0.00207422,0.0009844487,273.38
5,0.00356533,0.0021497,0.000975773,270.54
6,0.00336651,0.00189582,0.0009652394,277.9
7,0.00321644,0.00165405,0.0009528894,270.14
8,0.00311127,0.00223862,0.0009387718,283.95
9,0.00299003,0.00166727,0.0009229423,277.85
10,0.00293585,0.00231123,0.0009054634,278.19
11,0.00287752,0.00172733,0.0008864041,273.92
12,0.00281439,0.00267574,0.0008658395,275.58
13,0.00276194,0.00117046,0.0008438508,274.61
14,0.00271679,0.00151754,0.0008205249,272.3
15,0.00264395,0.00139309,0.0007959537,272.89
16,0.00260552,0.0013598,0.0007702343,275.09
17,0.0025766,0.00127102,0.0007434681,274.62
18,0.00253062,0.00210524,0.0007157607,277.7
19,0.00249305,0.00183446,0.0006872217,274.91
20,0.00245651,0.00117206,0.0006579634,272.11
21,0.00245904,0.0012518,0.0006281015,274.61
22,0.00241887,0.00122934,0.0005977538,278.09
23,0.00239946,0.0011378,0.00056704,286.17
24,0.00237012,0.0011602,0.0005360813,275.56
25,0.00235277,0.00155143,0.000505,274.28
26,0.00233667,0.00095668,0.0004739187,270.46
27,0.00230839,0.00120535,0.00044296,270.42
28,0.00227597,0.00105588,0.0004122462,270.38
29,0.00226017,0.00121524,0.0003818985,272.32
30,0.00224325,0.00109103,0.0003520366,267.9
31,0.00222759,0.0010644,0.0003227783,266.82
32,0.00219616,0.00161634,0.0002942393,265.54
33,0.00218934,0.00109248,0.0002665319,266.45
34,0.0021727,0.00100415,0.0002397657,269.11
35,0.00216368,0.00099358,0.0002140463,271.63
36,0.00214388,0.00099735,0.0001894751,275.56
37,0.00211938,0.00080527,0.0001661492,271.59
38,0.00210107,0.00099727,0.0001441605,270.86
39,0.00208715,0.00085124,0.0001235959,269.13
40,0.00208434,0.00095467,0.0001045366,268.48
41,0.00207999,0.00099429,8.70577e-05,271.76
42,0.00206725,0.00103451,7.12282e-05,275.11
43,0.00205947,0.00086459,5.71106e-05,270.99
44,0.00206142,0.00097803,4.47606e-05,273.34
45,0.00205346,0.00087955,3.4227e-05,269.86
46,0.00204634,0.00093313,2.55513e-05,267.83
47,0.0020443,0.00085474,1.87678e-05,269.72
48,0.00204023,0.00087439,1.39032e-05,265.92
49,0.00203181,0.00085338,1.09768e-05,268.92
50,0.00203545,0.00088316,1e-05,268.37
